Sequence,N,Median_OS,Mean_OS,Std_OS,Deaths,Death_Rate
FOLFOX_only,1018,19.39723902,26.75777135998232,23.46202395267624,601.0,0.5903732809430255
FOLFIRI_only,262,18.23011701,25.22306134689313,22.73946774733899,176.0,0.6717557251908397
FOLFOX_to_FOLFIRI,331,31.23284248,35.834385262839874,21.716725612191993,219.0,0.6616314199395771
FOLFIRI_to_FOLFOX,31,29.1287352,31.27102184996774,22.117732927032293,22.0,0.7096774193548387
