Feature,Importance
MALE,0.11086914201439836
LIVER_METS,0.09422418305029916
LEFT_SIDED,0.06959199669095466
TMB_HIGH,0.06897218324638045
PERITONEUM_METS,0.065499134325886
TMB_LOW,0.06509548233896706
CURRENT_AGE_DEID,0.05963649007090673
RECTAL,0.0568528728569223
AGE_UNDER_50,0.05128684457922783
MSI_STABLE,0.04904065570259724
