Mutation,Treatment,Mut_Pos_Median_OS,Mut_Neg_Median_OS,Difference,P_value
RAS_mut,FOLFOX,21.5013463,24.98627399,-3.4849276899999992,0.02281713392846007
RAS_mut,FOLFIRI,18.8712122,23.17805679,-4.306844590000001,0.004660365937306639
BRAF_mut,FOLFOX,12.476698655,23.67120694,-11.194508285000001,3.9894680195878796e-08
BRAF_mut,FOLFIRI,14.72875098,21.48490796,-6.756156980000002,0.0005283098684418756
TP53_mut,FOLFOX,23.852028655,19.0027189,4.849309755,0.3031922814210238
TP53_mut,FOLFIRI,19.95614251,23.835590314999997,-3.879447804999998,0.7606926296129728
APC_mut,FOLFOX,24.23011043,19.117787265,5.112323164999999,0.0002631037010103031
APC_mut,FOLFIRI,20.74518275,18.93696555,1.8082172000000014,0.7489386988335232
PIK3CA_mut,FOLFOX,24.78901393,22.56983828,2.2191756500000004,0.15261907480008227
PIK3CA_mut,FOLFIRI,23.50682355,19.98901919,3.5178043599999995,0.8012877052293601
