Subgroup,N,FOLFOX,FOLFIRI,HR,P_value
Age >65,589,478,111,0.8774371678128787,0.3143646971430068
Age 50-65,790,632,158,0.9832431308762561,0.8814937755275836
Age <50,515,395,120,0.8336557694545096,0.14742856171279448
Male,1035,805,230,0.8170707027688202,0.027362033924770067
Female,859,700,159,1.0362009405931112,0.7500598227527195
